Rating,Player,Salary,Pos,Min,Max,Team,Opp,Proj,Ceiling,Floor,Proj +/-,Pts/Sal,Act,Full,PP,Pro,My,Opp +/-,Bargain,B2B,Rest,Pts,Opp Pts,ML,O/U,ML %,Open ...,PPG,+/-,Consistency,Upside,Duds,Count,PPG_2,Consistency_2,Duds_2,Upside_2,Count_2,G,A,Pts,TOI,Pts/60,S,S Att,Eff S%,S %,BLK,S+Blk,CorsiFor,C Agst,Fnk For,PP G,PP A,PP TOI,PP S,PP SA,PP Eff S%,SH G,SH A,ES G,ES A,PIM,EN G,S Pred,G_2,A_2,Pts_2,TOI_2,Pts/60_2,S_2,S Att_2,Eff S%_2,S %_2,Blk_2,S+Blk_2,Corsi For_2,Corsi Against_2,PP G_2,PP A_2,PP TOI_2,PP S_2,Corsi For_3,S+Blk_3,S_3,Blk_3,S Att_3,PP S Att_2,TOI_3,PP TOI_3,PP G_3,PP A_3,S Att Pred_2,SA,Opp SA Ag,SA Ag,Opp SA,PPs,PP%,Opp PKs,Opp PK%,Opp SA_2,Opp SA A,SA Ag_2,Opp SA_3,PPs_2,PP%_2,Opp PKs_2,Opp PK%_2,Opp SA_4
29.84,Wayne Simmonds,$2800,W,,,TOR,MTL - J Allen,2.31,3,1.6,-1.97,0.8,0,4F,2,4,0,1,83%,1H,,3.6,2.5,-198,6,69,-175,4.8,0.4,30%,12%,25%,66,,0%,0%,0%,4,0.16,0.07,0.22,12.03,1.1,1.58,1.63,0.97,0.1,0.42,2,9.48,8.3,7.34,0.04,0,1.9,0.12,0.12,1,0,0,0.11,0.07,1.04,0,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
29.78,J.T. Miller,$5400,W,,,VAN,@EDM - M Smith,6.96,8.8,5.1,-2.24,1.3,9.5,1F,1,3,0,0,98%,,,2.7,3.9,174,6.5,27,162,8.6,0,37%,11%,33%,53,,0%,0%,0%,3,0.28,0.58,0.87,20.97,2.49,2,2.09,0.96,0.14,0.45,2.45,11.6,14.29,8.87,0.06,0.26,3.25,0.49,0.49,1,0.02,0,0.21,0.32,0.81,0.02,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,40.95,44.6,48.67,43.15,2.54,0.27,2.63,0.28,,,,,,,,,
29.12,Kyle Connor,$6300,W,,,WPG,@ANA - J Gibson,9.13,11.5,6.7,-1.77,1.4,19,1F,1,2,0,0.1,78%,,,3,2.6,-140,5.5,75,-130,11.5,-0.1,43%,11%,34%,67,,0%,0%,0%,4,0.45,0.44,0.89,19.37,2.76,3.03,3.11,0.97,0.15,0.33,3.36,14.02,14.35,10.31,0.16,0.05,2.74,0.78,0.78,1,0,0,0.3,0.39,0.19,0.03,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71,40.66,43.9,45.64,43.26,2.73,0.33,2.85,0.3,,,,,,,,,
28.84,Pierre Engvall,$2700,W,,,TOR,MTL - J Allen,3.88,5,2.8,-0.21,1.4,13,3F,2,3,0,0.4,83%,1H,,3.6,2.5,-198,6,69,-175,3.8,0.5,28%,12%,42%,66,,0%,0%,0%,4,0.15,0.13,0.27,11.94,1.36,1.5,1.48,1.02,0.1,0.29,1.79,10.19,9.65,8,0,0,0.09,0.02,0.02,1,0,0,0.15,0.13,0.58,0,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
28.71,Warren Foegele,$3000,W,,,EDM,VAN - T Demko,4.53,5.8,3.3,-0.13,1.5,1.5,3F,,1,0,2.4,71%,,,3.9,2.7,-195,6.5,73,-181,5.2,0.8,39%,21%,34%,69,,0%,0%,0%,5,0.17,0.17,0.35,14.16,1.48,1.68,1.66,1.02,0.1,0.22,1.9,12.68,11.16,9.52,0,0,0.1,0,0,,0,0,0.17,0.17,0.48,0.02,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
28.57,Darren Helm,$2600,W,,,COL,CHI - M Fleury,2.61,3.3,1.9,-1.29,1,0,4F,,0,0,0.3,71%,,,3.5,2.6,-182,6,48,-190,3.9,0.5,33%,13%,30%,59,,0%,0%,0%,6,0.07,0.11,0.17,14.59,0.7,1.7,1.79,0.95,0.04,0.41,2.11,9.98,11.02,7.26,0,0,0.07,0,0,,0,0,0.07,0.11,0.22,0.02,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
28.21,Jayson Megna,$2500,W,,,COL,CHI - M Fleury,2.03,2.6,1.4,-1.69,0.8,1.5,4F,,0,0,0.4,71%,,,3.5,2.6,-182,6,48,-190,2.1,0,4%,2%,19%,71,,0%,0%,0%,6,0,0.29,0.29,10.25,1.7,1.71,1.71,1,0,0.43,2.14,8.57,7.43,5.71,0,0,0.13,0,0,,0,0,0,0.29,0,0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
27.87,Kailer Yamamoto,$3300,W,,,EDM,VAN - T Demko,4.92,6.3,3.6,-0.31,1.5,5.8,2F,,1,0,0.6,16%,,,3.9,2.7,-195,6.5,73,-181,5.6,-0.7,29%,11%,38%,62,,0%,0%,0%,5,0.14,0.25,0.39,16.58,1.41,1.34,1.27,1.05,0.11,0.75,2.09,13.46,12.85,9.91,0.02,0.04,0.62,0.09,0.09,1,0,0.02,0.13,0.2,0.5,0,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
27.84,Daniel Sprong,$3600,W,,,WAS,NYR - I Shesterkin,4.56,5.8,3.3,-1.23,1.3,3,2F,,1,0,1.5,12%,,,3,3,-105,6,40,-109,4.8,1.2,35%,24%,46%,62,,0%,0%,0%,5,0.3,0.18,0.48,11.55,2.5,1.91,2,0.95,0.15,0.02,1.93,9.66,9.93,7.43,0,0,0.61,0.03,0.03,1,0,0,0.3,0.18,0.36,0,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
27.52,Tanner Pearson,$4000,W,,,VAN,@EDM - M Smith,5.73,7.3,4.2,-0.82,1.4,3,2F,2,2,0,-0.8,10%,,,2.7,3.9,174,6.5,27,162,6.5,0.2,22%,13%,28%,53,,0%,0%,0%,3,0.2,0.16,0.35,17.07,1.23,2.16,2.21,0.98,0.09,0.55,2.71,11.94,14,8.85,0.04,0,1.95,0.32,0.32,1,0,0.02,0.16,0.14,0.51,0,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,40.95,44.6,48.67,43.15,2.54,0.27,2.63,0.28,,,,,,,,,
27.43,Adam Henrique,$4300,W,,,ANA,WPG - C Hellebuyck,5.66,7.2,4.1,-1.46,1.3,11.3,1F,2,3,0,2.2,4%,,,2.6,3,126,5.5,25,118,5.9,-0.1,31%,11%,44%,61,,0%,0%,0%,5,0.27,0.2,0.47,16.04,1.76,1.71,1.74,0.98,0.16,0.71,2.42,11.43,11.75,8.18,0.02,0.02,1.81,0.34,0.34,1,0,0.02,0.24,0.16,0.24,0,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88,43.26,45.64,43.9,40.66,2.21,0.13,2.7,0.34,,,,,,,,,
27.41,Alex Newhook,$2500,W,,,COL,CHI - M Fleury,0,0,0,-3.72,,,3F,2,5,0,0.7,98%,,,3.5,2.6,-182,6,48,-190,,, , , ,0,,0%,0%,0%,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
26.68,Ondrej Kase,$2500,W,,,TOR,MTL - J Allen,4.2,5.4,3,0.48,1.7,14.6,3F,,0,0,0.2,88%,1H,,3.6,2.5,-198,6,69,-175,0.6,-0.2,1%,0%,18%,64,,0%,0%,0%,4,0,0,0,8.51,0,1.33,2,0.67,0,0.33,1.67,6.5,4,5.5,0,0,0,0,0,,0,0,0,0,0,0,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
26.36,T.J. Oshie,$5700,W,,,WAS,NYR - I Shesterkin,6.87,8.7,5,-2.89,1.2,16.3,3F,1,2,0,0.6,71%,,,3,3,-105,6,40,-109,9.1,0.8,32%,16%,32%,62,,0%,0%,0%,5,0.4,0.41,0.81,18.11,2.68,1.97,2.06,0.95,0.2,0.52,2.48,12.07,11.26,8.86,0.22,0.05,3.36,0.65,0.65,1,0,0,0.17,0.36,0.31,0.02,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
26.25,Josh Anderson,$4500,W,,,MTL,@TOR - J Campbell,6.93,8.8,5.1,-0.57,1.5,9.3,2F,2,3,0,0.6,16%,1A,,2.5,3.6,176,6,31,157,7.2,-0.2,32%,11%,37%,85,,0%,0%,0%,4,0.3,0.11,0.41,15.85,1.55,2.36,2.22,1.07,0.13,0.45,2.81,12.08,11.84,8.7,0.01,0.01,1.73,0.29,0.29,1,0.01,0,0.27,0.09,0.68,0,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.05,48.92,42.32,39.35,44.45,2.24,0.66,2.29,0.38,,,,,,,,,
26.22,Alex Chiasson,$2900,W,,,VAN,@EDM - M Smith,7.24,9.2,5.3,2.77,2.5,10.5,1F,1,4,0,0.6,83%,,,2.7,3.9,174,6.5,27,162,3.8,0.6,31%,13%,53%,60,,0%,0%,0%,3,0.21,0.15,0.35,12.44,1.69,1.48,1.59,0.93,0.14,0.15,1.62,7.15,8.87,5.43,0.13,0.04,2.73,0.61,0.61,1,0,0,0.08,0.1,0.69,0,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,40.95,44.6,48.67,43.15,2.54,0.27,2.63,0.28,,,,,,,,,
25.34,Barclay Goodrow,$2900,W,,,NYR,@WAS - V Vanecek,3.9,5,2.8,-0.57,1.3,3,3F,,0,0,0.3,78%,1A,,3,3,-105,6,60,-101,4.4,0.3,42%,10%,39%,83,,0%,0%,0%,4,0.11,0.25,0.36,15.61,1.38,1.38,1.41,0.98,0.08,0.55,1.93,11.54,9.76,8.99,0,0,0.05,0,0,,0,0,0.11,0.25,1.07,0.04,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
