Rating,Player,Salary,Pos,Min,Max,Team,Opp,Proj,Ceiling,Floor,Proj +/-,Pts/Sal,Act,Full,PP,Pro,My,Opp +/-,Bargain,B2B,Rest,Pts,Opp Pts,ML,O/U,ML %,Open ...,PPG,+/-,Consistency,Upside,Duds,Count,PPG_2,Consistency_2,Duds_2,Upside_2,Count_2,G,A,Pts,TOI,Pts/60,S,S Att,Eff S%,S %,BLK,S+Blk,CorsiFor,C Agst,Fnk For,PP G,PP A,PP TOI,PP S,PP SA,PP Eff S%,SH G,SH A,ES G,ES A,PIM,EN G,S Pred,G_2,A_2,Pts_2,TOI_2,Pts/60_2,S_2,S Att_2,Eff S%_2,S %_2,Blk_2,S+Blk_2,Corsi For_2,Corsi Against_2,PP G_2,PP A_2,PP TOI_2,PP S_2,Corsi For_3,S+Blk_3,S_3,Blk_3,S Att_3,PP S Att_2,TOI_3,PP TOI_3,PP G_3,PP A_3,S Att Pred_2,SA,Opp SA Ag,SA Ag,Opp SA,PPs,PP%,Opp PKs,Opp PK%,Opp SA_2,Opp SA A,SA Ag_2,Opp SA_3,PPs_2,PP%_2,Opp PKs_2,Opp PK%_2,Opp SA_4
25.71,Cody Ceci,$3600,D,,,EDM,VAN - T Demko,4.27,5.4,3.1,-1.51,1.2,4.1,2D,,1,0,0.3,15%,,,3.9,2.7,-195,6.5,73,-181,5.6,1.2,46%,23%,25%,64,,0%,0%,0%,5,0.07,0.25,0.32,18.92,1.01,1.2,1.23,0.98,0.06,1.29,2.49,13.81,14.12,10.62,0,0,0.06,0,0,,0,0,0.07,0.25,0.17,0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
25.35,Morgan Rielly,$5100,D,,,TOR,MTL - J Allen,6.55,8.3,4.8,-2.26,1.3,10.6,1D,1,4,0,1.3,97%,1H,,3.6,2.5,-198,6,69,-175,8.3,-1,34%,3%,34%,66,,0%,0%,0%,4,0.1,0.52,0.61,23.86,1.53,1.92,1.88,1.02,0.05,1.19,3.11,17.11,16.54,13.39,0.02,0.18,2.96,0.27,0.27,1,0,0.02,0.08,0.32,0.23,0,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
24.82,Jamie Drysdale,$3300,D,,,ANA,WPG - C Hellebuyck,3.97,5,2.9,-1.2,1.2,9.1,1D,1,3,0,-0.6,97%,,,2.6,3,126,5.5,25,118,4.5,0.2,40%,10%,33%,30,,0%,0%,0%,5,0.13,0.21,0.33,19.58,1.01,1.17,,,0.11,0.96,2.12,,,,0,0.04,,,,,0,0,0.13,0.17,0.25,0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88,43.26,45.64,43.9,40.66,2.21,0.13,2.7,0.34,,,,,,,,,
24.33,Justin Holl,$3700,D,,,TOR,MTL - J Allen,4.17,5.3,3,-1.81,1.1,8.2,2D,,1,0,1.1,12%,1H,,3.6,2.5,-198,6,69,-175,5.9,1.2,43%,22%,31%,66,,0%,0%,0%,4,0.03,0.31,0.34,21.11,0.97,1.05,1.13,0.92,0.03,1.52,2.56,15.46,15.87,11.87,0,0,0.14,0,0,,0,0.02,0.03,0.29,0.47,0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
24.13,Jack Johnson,$2500,D,,,COL,CHI - M Fleury,3.39,4.4,2.4,-0.17,1.4,12.8,3D,,2,0,0.5,97%,,,3.5,2.6,-182,6,48,-190,1.4,-0.1,6%,1%,26%,60,,0%,0%,0%,6,0.08,0,0.08,16.97,0.28,1,1,1,0.08,1.15,2.15,11.58,14.67,9,0,0,0.06,0,0,,0,0,0.08,0,0.62,0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
23.85,Ryan Lindgren,$3100,D,,,NYR,@WAS - V Vanecek,3.74,4.8,2.7,-1.03,1.2,2.6,1D,,1,0,0.3,25%,1A,,3,3,-105,6,60,-101,4.7,0.7,39%,17%,31%,58,,0%,0%,0%,4,0.02,0.29,0.31,19.99,0.93,1.27,1.38,0.92,0.02,0.98,2.25,14.38,13.84,10.72,0,0,0.1,0.02,0.02,1,0,0.02,0.02,0.27,0.69,0,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
23.47,Jack Rathbone,$3800,D,,,VAN,@EDM - M Smith,4.87,6.2,3.6,-1.31,1.3,2.8,3D,2,1,0,0,10%,,,2.7,3.9,174,6.5,27,162,6,0.4,7%,5%,5%,53,,0%,0%,0%,3,0.13,0.25,0.38,15.51,1.47,2.13,,,0.06,1,3.13,,,,0,0.13,,,,,0,0,0.13,0.13,0,0,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,40.95,44.6,48.67,43.15,2.54,0.27,2.63,0.28,,,,,,,,,
23.08,Cale Makar,$6600,D,,,COL,CHI - M Fleury,8.45,10.6,6.3,-3.39,1.3,5.8,1D,1,3,0,0.6,22%,,,3.5,2.6,-182,6,48,-190,10.1,0.3,32%,11%,28%,71,,0%,0%,0%,6,0.19,0.81,1,24.32,2.47,2.35,2.4,0.98,0.08,0.91,3.26,20.74,13.66,14.6,0.11,0.41,3.73,0.7,0.7,1,0,0,0.07,0.41,0.26,0,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
22.81,Jarred Tinordi,$2800,D,,,NYR,@WAS - V Vanecek,3.09,4,2.2,-1.07,1.1,0,3D,,1,0,0.9,32%,1A,,3,3,-105,6,60,-101,1.9,0.4,17%,7%,64%,67,,0%,0%,0%,4,0,0.04,0.04,16.76,0.14,1.4,1.35,1.04,0,1.48,2.88,11.4,12.6,8.92,0,0,0.02,0,0,,0,0,0,0.04,0.64,0,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
22.59,Calvin de Haan,$3900,D,,,CHI,@COL - D Kuemper,4.31,5.5,3.1,-2.07,1.1,15.3,1D,,1,0,0.6,8%,,,2.6,3.5,162,6,52,169,5.3,0.7,40%,15%,30%,59,,0%,0%,0%,5,0.02,0.2,0.23,18.62,0.74,1.32,1.3,1.01,0.02,1.93,3.25,13.77,13.51,10.09,0,0.02,0.08,0,0,,0,0,0.02,0.18,0.32,0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08,39.6,37.71,47.98,51.76,3.2,0.27,3,0.24,,,,,,,,,
